Departement,Nom
AL,Banikoara
AL,Gogounou
AL,Kandi
AL,Karimama
AL,Malanville
AL,Segbana
AK,Boukoumbé
AK,Cobly
AK,Kérou
AK,Kouandé
AK,Matéri
AK,Natitingou
AK,Pehonko
AK,Tanguiéta
AK,Toucountouna
AT,Abomey-Calavi
AT,Allada
AT,Kpomassè
AT,Ouidah
AT,Sô-Ava
AT,Toffo
AT,Tori-Bossito
AT,Zè
BG,Bembéréké
BG,Kalalé
BG,N'Dali
BG,Nikki
BG,Parakou
BG,Pèrèrè
BG,Sinendé
BG,Tchaourou
CL,Bantè
CL,Dassa-Zoumè
CL,Glazoué
CL,Ouèssè
CL,Savalou
CL,Savè
CF,Aplahoué
CF,Djakotomey
CF,Dogbo-Tota
CF,Klouékanmè
CF,Lalo
CF,Toviklin
DG,Bassila
DG,Copargo
DG,Djougou
DG,Ouaké
LT,Cotonou
MN,Athiémé
MN,Bopa
MN,Comè
MN,Grand-Popo
MN,Houéyogbé
MN,Lokossa
OU,Adjarra
OU,Adjohoun
OU,Aguégués
OU,Akpro-Missérété
OU,Avrankou
OU,Bonou
OU,Dangbo
OU,Porto-Novo
OU,Sèmè-Kpodji
PL,Adja-Ouèrè
PL,Ifangni
PL,Kétou
PL,Pobè
PL,Sakété
ZO,Abomey
ZO,Agbangnizoun
ZO,Bohicon
ZO,Covè
ZO,Djidja
ZO,Ouinhi
ZO,Zangnanado
ZO,Za-Kpota
ZO,Zogbodomey